No,Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
94,Bachelor's,Computer Science,"AWS, Ansible, Kotlin/Java (Android), Linux (Ubuntu)",TensorFlow Developer Certificate,63,NLP Engineer
95,Master's,Computer Science,"Flask, System Design, GitHub",Google Associate Cloud Engineer,74,Software Engineer
96,Master's,Finance,"Burp Suite, Penetration Testing, Analytical Thinking",Microsoft Power BI,90,Business Intelligence Analyst
97,Matric,Arts,"Spark, Azure",Splunk Certified,63,SOC Analyst
98,Bachelor's,Computer Science,"Google Cloud, Terraform, TCP/IP, CentOS",CompTIA Network+,63,Network Engineer
99,PhD,Computer Science,"PowerShell, Problem Solving, Kubernetes",ITIL Foundation,76,Technical Support Specialist
100,PhD,Computer Science,"C, Data Structures & Algorithms, CI/CD",TensorFlow Developer Certificate,64,Machine Learning Engineer
101,Intermediate,Computer Science,"Laravel, Cassandra",Microsoft Power BI,74,Business Intelligence Analyst
102,Intermediate,Engineering,"PHP, Terraform",CompTIA Security+,87,Security Engineer
103,Matric,Computer Science,"Go, Ansible",Snowflake SnowPro,83,Data Engineer
104,Master's,Business,"REST API, OSI Model, GraphQL, Rust",Tricentis Tosca,95,QA Engineer / Software Tester
105,Bachelor's,Computer Science,"TCP/IP, Tableau, Ruby, Analytical Thinking",Microsoft Power BI,83,Business Intelligence Analyst
106,PhD,Engineering,"GitHub, PowerShell, Kali Linux",AWS Solutions Architect Professional,79,Solutions Architect
107,Master's,Business,"Spring Boot, CentOS",IIBA CBAP,92,Business Analyst
108,Bachelor's,Psychology,"Windows Server, Spark, Rust, Data Structures & Algorithms",Unreal Engine Certification,86,AR/VR Developer
109,Bachelor's,Science,"VPN, Terraform, Node.js, SIEM",Meta Full Stack Developer,62,Full Stack Developer
110,Bachelor's,Computer Science,"Spark, Laravel, SQLite, Analytical Thinking",Tableau Desktop Specialist,70,Business Analyst
111,Bachelor's,Engineering,"Analytical Thinking, Pandas, Google Cloud, Scala",Microsoft SQL Server Certification,88,Database Administrator (DBA)
112,Matric,Science,"Problem Solving, Kotlin/Java (Android), Jira",CompTIA A+,89,IT Support / Help Desk
113,Bachelor's,Computer Science,"REST API, TCP/IP, Windows Server",Unity Certified Developer,71,AR/VR Developer
114,Bachelor's,Science,"Elasticsearch, Bash/Shell Scripting",ITIL Foundation,76,Technical Support Specialist
115,Bachelor's,Computer Science,"AWS, Debian",Cisco CCNA,68,Network Engineer
116,PhD,Science,"SQLite, Kotlin/Java (Android), Kotlin",Meta Spark AR,86,AR/VR Developer
117,Master's,Computer Science,"C#, Jenkins, Git, MySQL",Oracle Java Certified,63,Software Engineer
118,Master's,Finance,"Hadoop, TypeScript, Flutter",TensorFlow Developer Certificate,79,NLP Engineer
119,Bachelor's,Finance,"Ruby, Load Balancer, CI/CD",CISSP,80,Security Engineer
120,Bachelor's,Science,"Agile/Scrum, Communication",CompTIA A+,65,Technical Support Specialist
121,Master's,Business,"Ansible, Power BI",CompTIA Project+,77,IT Project Manager
122,Bachelor's,Computer Science,"VPN, Kotlin/Java (Android), Subnetting",CompTIA Network+,79,Network Engineer
123,Bachelor's,Business,"Notion, Swift (iOS), Kotlin, R",Certified Blockchain Developer,80,Blockchain Developer
124,Bachelor's,Computer Science,"Counseling, Communication",Tally ERP,90,Software Engineer
125,Master's,Commerce,"OWASP, GitHub, NumPy, Design Patterns",TensorFlow Developer Certificate,60,NLP Engineer
126,Bachelor's,Engineering,"Design Patterns, Jenkins, Rust",Oracle Java Certified,88,Software Engineer / Developer
127,Bachelor's,Computer Science,"Debian, Terraform",ITIL Foundation,78,Technical Writer
128,Bachelor's,Business,"Microservices, CI/CD",Microsoft Power BI,92,Business Analyst
129,Master's,Business,"REST API, Penetration Testing",NVIDIA Deep Learning,64,Computer Vision Engineer
130,Bachelor's,Computer Science,"SQL, Kubernetes, SIEM",TensorFlow Developer Certificate,90,ML Engineer
131,Bachelor's,Computer Science,"Terraform, HTML",Microsoft Power BI,95,Business Analyst
132,Bachelor's,Business,"Docker, Redis",CompTIA Project+,61,IT Project Manager
133,Matric,Business,"Technical Writing, Cassandra",CompTIA IT Fundamentals,76,Data Entry Operator
134,Intermediate,Psychology,"Pandas, Swift (iOS), Bitbucket",TensorFlow Developer Certificate,88,Computer Vision Engineer
135,Bachelor's,Engineering,"Analytical Thinking, Burp Suite",Meta Front-End Developer,67,Frontend Developer
136,PhD,Computer Science,"GitHub, Go",freeCodeCamp Certification,87,Frontend Developer
137,Master's,Computer Science,"Scikit-learn, C",Google Cloud Professional,94,Full Stack Developer
138,Bachelor's,Psychology,"Kubernetes, Microservices, Penetration Testing",Oracle Java Certified,84,Backend Developer
139,Intermediate,Science,"Jetpack Compose, VPN, Confluence",AWS Certified Mobile,60,Mobile Developer (iOS / Android)
140,Master's,Business,"Microservices, REST API, Kali Linux, GitHub",Interaction Design Foundation,60,UI/UX Designer
141,Intermediate,Business,"Load Balancer, PowerShell, Communication",CompTIA IT Fundamentals,87,Data Entry Operator
142,PhD,Science,"MongoDB, Jetpack Compose",Microsoft Power BI,78,Data Analyst
143,Bachelor's,Computer Science,"JavaScript, GitHub Actions, Burp Suite",OSCP (Offensive Security),61,Penetration Tester (Ethical Hacker)
144,Intermediate,Finance,"Bitbucket, Jira, Communication, C",freeCodeCamp Certification,93,Frontend Developer
145,Master's,Computer Science,"Firebase, Microservices, Elasticsearch, Jenkins",HashiCorp Terraform,75,Platform Engineer
146,Intermediate,Business,"Microservices, CentOS, Python, Firewall",CompTIA IT Fundamentals,65,Data Entry Operator
147,Master's,Engineering,"CentOS, Analytical Thinking",Docker Certified Associate,63,Platform Engineer
148,Master's,Business,"TCP/IP, PyTorch",IIBA CBAP,69,Business Analyst
149,PhD,Engineering,"CentOS, SQL, Swift",Figma Professional,92,UI/UX Designer
150,Bachelor's,Computer Science,"Data Structures & Algorithms, MySQL, CI/CD, VPN",Google Cloud Professional,86,Cloud Engineer
151,Bachelor's,Arts,"Data Structures & Algorithms, Go",AWS Certified Developer,82,Frontend Developer
152,Bachelor's,Commerce,"Design Patterns, React, Problem Solving",PMI-PBA,91,Business Analyst
153,Intermediate,Computer Science,"Communication, Kotlin/Java (Android), MongoDB",Microsoft MTA,68,IT Support / Help Desk
154,Master's,Computer Science,"Azure, Windows Server, DNS",Cisco CCNA,73,Infrastructure Engineer
155,PhD,Arts,"Windows Server, Kubernetes, Subnetting",CompTIA Linux+,80,System Administrator
156,Bachelor's,Engineering,"Linux (Ubuntu), Docker",Docker Certified Associate,86,DevOps Engineer
157,PhD,Computer Science,"Linux (Ubuntu), HTTP/HTTPS, Azure",ITIL Foundation,70,Technical Support Specialist
158,Bachelor's,Engineering,"Metasploit, AWS, Angular",TensorFlow Developer Certificate,67,NLP Engineer
159,Bachelor's,Computer Science,"OSI Model, PowerShell",CompTIA Security+,79,Cybersecurity Analyst
160,Master's,Computer Science,"Firebase, OWASP, Microservices, Notion",IBM Data Science Professional,88,Data Scientist
161,Bachelor's,Arts,Data Analysis,AWS Certified,73,Research Scientist
162,Master's,Commerce,"Communication, Technical Writing",Adobe Certified Professional,66,Product Designer
163,Bachelor's,Computer Science,"Jenkins, Cassandra, Vue, Ansible",Docker Certified Associate,74,Platform Engineer
164,Bachelor's,Engineering,"Google Cloud, Kubernetes, Bash/Shell Scripting",Docker Certified Associate,78,Platform Engineer
165,Bachelor's,Engineering,"Django, Google Cloud, Penetration Testing, Jenkins",Juniper JNCIA,89,Network Engineer
166,Master's,Computer Science,"Tableau, NumPy",Databricks ML Associate,61,Machine Learning Engineer
167,Bachelor's,Computer Science,"CentOS, Terraform",AWS Solutions Architect,82,Cloud Engineer
168,Bachelor's,Engineering,"Bash/Shell Scripting, SQLite, Docker, Jira",Docker Certified Associate,84,DevOps Engineer
169,Bachelor's,Computer Science,CI/CD,Coursera ML Specialization,90,ML Engineer
170,Intermediate,Science,"Firebase, MySQL",Google Professional Data Engineer,74,Data Engineer
171,Bachelor's,Science,"GraphQL, React Native",Zachman Framework,67,Enterprise Architect
172,Bachelor's,Arts,"MS Office, Financial Analysis, Data Analysis",Google Data Analytics,60,Software Engineer
173,Master's,Computer Science,"PHP, Windows Server",Coursera ML Specialization,93,ML Engineer
174,Master's,Engineering,"GitHub Actions, PowerShell, HTTP/HTTPS",AWS Solutions Architect,92,IT Consultant
175,Matric,Science,"Data Structures & Algorithms, CSS, Communication",Adobe Certified Professional,65,Product Designer
176,Bachelor's,Computer Science,"Google Cloud, Java, TypeScript",CertNexus IoT,75,IoT Engineer
177,Bachelor's,Computer Science,"Analytical Thinking, DNS, Firewall",AWS Security Specialty,83,Security Engineer
178,Master's,Computer Science,"Google Cloud, Subnetting",CISSP,92,Security Engineer
179,Bachelor's,Computer Science,"React, System Design",Google Data Analytics,95,Data Scientist
180,Master's,Engineering,"Kotlin, Next.js, PHP",ISTQB Foundation,82,QA Engineer / Software Tester
181,Bachelor's,Computer Science,"C, GitHub Actions, JavaScript",Coursera ML Specialization,90,Data Scientist
182,Master's,Business,"Azure, GitLab",Scrum Master (CSM),73,IT Project Manager
183,Master's,Computer Science,"PostgreSQL, MySQL, Git",Apple Certified Developer,65,Mobile Developer (iOS / Android)
184,Intermediate,Commerce,"Tableau, Firebase, Kubernetes, Ruby",Tally ERP,89,Data Entry Operator
185,Master's,Business,"R, Problem Solving, Azure",PMP (Project Management Professional),89,IT Project Manager
186,PhD,Computer Science,"PyTorch, Data Structures & Algorithms, Jetpack Compose, Tableau",TensorFlow Developer Certificate,82,ML Engineer
187,Bachelor's,Science,"Vue, Agile/Scrum",CompTIA Linux+,77,System Administrator
188,Master's,Computer Science,"Kotlin/Java (Android), C#, Metasploit",CKA (Kubernetes),75,Site Reliability Engineer (SRE)
189,Bachelor's,Engineering,"Microservices, HTTP/HTTPS",GitHub Certified,65,Software Engineer / Developer
190,Master's,Engineering,"SQLite, Technical Writing, Problem Solving, Windows Server",ISTQB Foundation,85,QA Engineer / Software Tester
191,PhD,Commerce,"Problem Solving, Scikit-learn, GitLab, TensorFlow",Apple Certified Developer,72,Mobile Developer (iOS / Android)
192,PhD,Business,"Firewall, CentOS",OSCP (Offensive Security),94,Penetration Tester (Ethical Hacker)
193,Bachelor's,Science,"GitHub, Cassandra, DNS",Tableau Desktop Specialist,75,Business Intelligence Analyst
194,Master's,Science,"Data Structures & Algorithms, Pandas",TensorFlow Developer Certificate,78,Computer Vision Engineer
195,Intermediate,Commerce,"VPN, Python",CertNexus IoT,82,Embedded Systems Engineer
196,Master's,Engineering,"Hadoop, PostgreSQL, Kotlin, AWS",Oracle Java Certified,90,Backend Developer
197,Master's,Finance,"Penetration Testing, Kubernetes, Docker",AWS Certified Developer,92,Full Stack Developer
198,Bachelor's,Engineering,"MySQL, Firebase",GitHub Certified,83,Software Engineer
199,Master's,Arts,"Kali Linux, Ansible, CI/CD",CISM,92,Cryptographer
200,Bachelor's,Computer Science,"Cryptography, Ruby",CKA (Kubernetes),95,DevOps Engineer
201,Master's,Business,"Python, Technical Writing",Scrum Master (CSM),78,IT Project Manager
202,Bachelor's,Science,"Cryptography, Hadoop, PowerShell, HTML",Adobe Certified Professional,86,Product Designer
203,Master's,Engineering,"Flask, Windows Server, Firebase",ARM Certified Engineer,78,Embedded Systems Engineer
204,Master's,Business,"GitHub Actions, Burp Suite",AWS Certified Data Analytics,80,Data Engineer
205,PhD,Computer Science,"R, Jenkins, PHP, Agile/Scrum",AWS Certified Machine Learning,80,ML Engineer
206,Master's,Arts,"GitLab, Jira, Microservices",PMI-ACP,73,Scrum Master / Agile Coach
207,Intermediate,Computer Science,"SQLite, HTTP/HTTPS, React",Microsoft Azure Administrator,71,Cloud Engineer
208,Matric,Science,"Agile/Scrum, Firebase, Flutter, VPN",CompTIA A+,90,IT Support / Help Desk
209,Bachelor's,Commerce,"Cassandra, Elasticsearch",AWS Solutions Architect,73,Cloud Engineer
210,Bachelor's,Computer Science,"PHP, Cassandra",Google Data Analytics,62,Data Analyst
211,Bachelor's,Finance,"Spark, Firebase, Swift (iOS)",AWS Solutions Architect,92,Cloud Engineer
212,Bachelor's,Engineering,"JavaScript, TypeScript",CKA (Kubernetes),61,DevOps Engineer
213,Intermediate,Engineering,"Ansible, Firebase, Design Patterns",TOGAF,72,Solutions Architect
214,Bachelor's,Computer Science,"Git, Python, Java",AWS DevOps,79,Automation Test Engineer
215,Intermediate,Computer Science,"Jira, Confluence, Technical Writing",Certified Scrum Master (CSM),91,Scrum Master / Agile Coach
216,Bachelor's,Business,"Data Structures & Algorithms, Cryptography, Firebase",Tableau Desktop Specialist,70,Business Analyst
217,Bachelor's,Business,"Kotlin/Java (Android), Agile/Scrum, Burp Suite",AWS Certified Machine Learning,95,Computer Vision Engineer
218,Bachelor's,Computer Science,"Bash/Shell Scripting, Windows Server, HTTP/HTTPS",CompTIA A+,62,IT Support / Help Desk
219,Master's,Computer Science,"R, C++, Cryptography",AWS DevOps,90,Automation Test Engineer
220,Master's,Psychology,"Design Patterns, Kubernetes, Data Structures & Algorithms",AWS Solutions Architect Professional,61,Solutions Architect
221,Matric,Business,"Technical Writing, Notion",Google IT Support,86,Data Entry Operator
222,PhD,Computer Science,"OSI Model, Power BI",TensorFlow Developer Certificate,86,Machine Learning Engineer
223,Bachelor's,Computer Science,"PyTorch, Data Structures & Algorithms, Confluence, Firewall",Google Professional ML Engineer,88,ML Engineer
224,Master's,Computer Science,"Subnetting, Burp Suite, Hadoop",CISSP,89,Cybersecurity Analyst
225,Matric,Business,"Jenkins, Design Patterns",Google Cloud Professional,91,Backend Developer
226,Bachelor's,Computer Science,"Python, OSI Model, PowerShell",Cisco CCNA,60,Network Engineer
227,Bachelor's,Computer Science,"Firewall, Firebase",Tableau Desktop Specialist,67,Data Analyst
228,Master's,Computer Science,"Power BI, Problem Solving, HTTP/HTTPS",TensorFlow Developer Certificate,86,ML Engineer
229,Bachelor's,Engineering,"Wireshark, Redis",AWS Certified Mobile,86,Mobile Developer (iOS / Android)
230,Bachelor's,Psychology,"Windows Server, AWS",AWS SysOps Administrator,91,Infrastructure Engineer
231,Bachelor's,Computer Science,"PowerShell, Agile/Scrum, Jenkins",HashiCorp Terraform,81,DevOps Engineer
232,PhD,Computer Science,"Jetpack Compose, SQL, C++, HTTP/HTTPS",Databricks Associate,64,Data Engineer
233,Bachelor's,Computer Science,"TCP/IP, TypeScript, Kali Linux",CISM,83,Cybersecurity Analyst
234,Matric,Engineering,"MS Office, Communication, Python",Google Data Analytics,78,Business Analyst
235,Bachelor's,Computer Science,"TypeScript, C, Analytical Thinking",CompTIA Network+,65,IoT Engineer
236,Bachelor's,Computer Science,"AWS, R",Google Data Analytics,80,Data Scientist
237,Bachelor's,Arts,"OWASP, Docker, OOP",CompTIA Security+,94,Security Engineer
238,Bachelor's,Computer Science,"PostgreSQL, OSI Model",Google Professional Data Engineer,83,Data Engineer
239,PhD,Computer Science,"Next.js, NumPy, Communication",DeepLearning.AI Specialization,77,Research Scientist
240,Master's,Computer Science,"Notion, Analytical Thinking, REST API",Interaction Design Foundation,95,UI/UX Designer
241,Bachelor's,Computer Science,"Technical Writing, AWS",OSCP (Offensive Security),78,Penetration Tester (Ethical Hacker)
242,Bachelor's,Computer Science,"REST API, OWASP, Hadoop",Google Associate Cloud Engineer,92,Software Engineer
243,PhD,Finance,"Bash/Shell Scripting, CentOS, Subnetting",AWS Solutions Architect,62,Cloud Engineer
244,Master's,Computer Science,"Spark, Cassandra",Google Associate Cloud Engineer,73,Software Engineer
245,Bachelor's,Computer Science,"Jira, React Native, OWASP",AWS Certified DevOps Engineer,64,DevOps Engineer
246,Master's,Business,"Bash/Shell Scripting, PowerShell",Microsoft MTA,90,Technical Support Specialist
247,Master's,Computer Science,"Kotlin/Java (Android), Java, Google Cloud",AWS Certified Mobile,86,Mobile Developer (iOS / Android)
248,Master's,Computer Science,"Problem Solving, REST API, Jira",NVIDIA Deep Learning Institute,92,Research Scientist
249,Master's,Business,"GitLab, Kotlin/Java (Android)",PMP (Project Management Professional),69,IT Project Manager
250,PhD,Finance,"Technical Writing, Jetpack Compose, CSS",freeCodeCamp Certification,74,Frontend Developer
251,Intermediate,Finance,"Kali Linux, GitHub, Kotlin, CI/CD",Google Cloud Professional,65,Full Stack Developer
252,Master's,Computer Science,"Penetration Testing, MongoDB",Google Associate Cloud Engineer,90,Software Engineer
253,Master's,Finance,"Ruby, Flutter, Swift (iOS), Agile/Scrum",React Native Certification,64,Mobile Developer (iOS / Android)
254,Master's,Finance,"System Design, C, Jenkins",AWS DevOps,74,Automation Test Engineer
255,Intermediate,Psychology,"Technical Writing, C++",Linux Foundation CKA,82,Site Reliability Engineer (SRE)
256,Master's,Computer Science,"C#, Analytical Thinking",NVIDIA Deep Learning Institute,79,Research Scientist
257,Bachelor's,Commerce,"MongoDB, CentOS, Scala, PowerShell",CEH,70,Penetration Tester (Ethical Hacker)
258,Bachelor's,Computer Science,"Firewall, Debian, OSI Model",CISSP,86,Cybersecurity Analyst
259,Bachelor's,Psychology,"Problem Solving, Technical Writing, MongoDB, OSI Model",AWS Solutions Architect Professional,92,Solutions Architect
260,Bachelor's,Computer Science,"PowerShell, JavaScript, HTTP/HTTPS",CompTIA Network+,63,IoT Engineer
261,Master's,Engineering,"Kubernetes, Jenkins",CompTIA Linux+,67,System Administrator
262,Master's,Science,"Vue, NumPy, C",Microsoft Power BI,70,Data Analyst
263,Bachelor's,Business,"Technical Writing, Spark",Scrum Master (CSM),89,IT Project Manager
264,Master's,Engineering,"SQL, Communication",Tableau Desktop Specialist,71,Business Intelligence Analyst
265,Bachelor's,Commerce,"TypeScript, Swift, Hadoop",CEH,77,Penetration Tester (Ethical Hacker)
266,Master's,Computer Science,"Elasticsearch, Hadoop",Coursera ML Specialization,78,ML Engineer
267,Bachelor's,Computer Science,"Hadoop, Kubernetes, Notion, TCP/IP",Cisco CCNP,65,Network Engineer
268,Bachelor's,Psychology,"GitLab, Technical Writing",Figma Professional,64,UI/UX Designer
269,Bachelor's,Engineering,"System Design, Firebase, Jira",IBM Data Analyst Professional,80,Data Analyst
270,Master's,Computer Science,"AWS, Windows Server, Bash/Shell Scripting",AWS Certified Developer,82,Backend Developer
271,Bachelor's,Computer Science,"Redis, Swift, Angular, PHP",Microsoft Azure Developer,82,Full Stack Developer
