career_id (FK),specialization_id (FK),frequency,weight
36,3,18,0.059
36,4,104,0.341
36,5,61,0.2
36,6,16,0.0525
36,7,14,0.0459
36,8,47,0.1541
37,2,295,0.6829
37,4,137,0.3171
38,1,29,0.0484
38,2,58,0.0968
38,3,33,0.0551
38,4,191,0.3189
38,5,131,0.2187
38,6,22,0.0367
38,7,36,0.0601
38,8,99,0.1653
39,1,31,0.0299
39,2,26,0.0251
39,3,25,0.0241
39,4,557,0.5371
39,5,57,0.055
39,6,34,0.0328
39,7,34,0.0328
39,8,273,0.2633
40,1,24,0.0649
40,2,36,0.0973
40,3,25,0.0676
40,4,119,0.3216
40,5,68,0.1838
40,6,20,0.0541
40,7,19,0.0514
40,8,59,0.1595
41,1,30,0.0758
41,2,49,0.1237
41,3,21,0.053
41,4,149,0.3763
41,5,74,0.1869
41,6,16,0.0404
41,7,16,0.0404
41,8,41,0.1035
42,1,22,0.0535
42,2,40,0.0973
42,3,18,0.0438
42,4,124,0.3017
42,5,95,0.2311
42,6,14,0.0341
42,7,16,0.0389
42,8,82,0.1995
43,1,26,0.0639
43,2,43,0.1057
43,3,24,0.059
43,4,151,0.371
43,5,76,0.1867
43,6,19,0.0467
43,7,10,0.0246
43,8,58,0.1425
44,1,34,0.0317
44,2,34,0.0317
44,3,27,0.0252
44,4,544,0.5079
44,5,316,0.2951
44,6,32,0.0299
44,7,33,0.0308
44,8,51,0.0476
45,4,522,0.6633
45,5,265,0.3367
46,1,24,0.0565
46,2,38,0.0894
46,3,25,0.0588
46,4,143,0.3365
46,5,81,0.1906
46,6,18,0.0424
46,7,19,0.0447
46,8,77,0.1812
47,1,33,0.0629
47,2,43,0.0819
47,3,17,0.0324
47,4,201,0.3829
47,5,99,0.1886
47,6,32,0.061
47,7,25,0.0476
47,8,75,0.1429
48,1,27,0.0519
48,2,54,0.1038
48,3,25,0.0481
48,4,161,0.3096
48,5,110,0.2115
48,6,32,0.0615
48,7,27,0.0519
48,8,84,0.1615
49,1,117,0.4625
49,4,136,0.5375
50,1,24,0.058
50,2,40,0.0966
50,3,23,0.0556
50,4,145,0.3502
50,5,82,0.1981
50,6,18,0.0435
50,7,18,0.0435
50,8,64,0.1546
